# *******************************************************************************
# Ephemeris / WWW_USER Mon Mar 21 08:36:37 2016 Pasadena, USA      / Horizons    
# *******************************************************************************
# Target body name: Sun (10)                        {source: DE431mx}
# Center body name: Earth (399)                     {source: DE431mx}
# Center-site name: (user defined site below)
# *******************************************************************************
# Start time      : A.D. 2012-Jan-01 00:00:00.0000 TDB
# Stop  time      : A.D. 2017-Dec-31 00:00:00.0000 TDB
# Step-size       : 720 minutes
# *******************************************************************************
# Center geodetic : 2.33330000,48.8500000,-9.98E-13 {E-lon(deg),Lat(deg),Alt(km)}
# Center cylindric: 2.33330000,4205.01009,4779.5984 {E-lon(deg),Dxy(km),Dz(km)}
# Center pole/equ : High-precision EOP model        {East-longitude +}
# Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
# Output units    : AU-D                                                         
# Output format   : 02
# Reference frame : ICRF/J2000.0                                                 
# EOP file        : eop.160318.p160609                                           
# EOP coverage    : DATA-BASED 1962-JAN-20 TO 2016-MAR-18. PREDICTS-> 2016-JUN-08
# Output type     : GEOMETRIC cartesian states
# Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
# *******************************************************************************
2455927.500000000 = A.D. 2012-Jan-01 00:00:00.0000   1.672252152655841E-01 -9.690452516844322E-01  1.217358309387015E-05   1.740657282495460E-02  3.029969377227490E-03 -1.513736579760443E-05
2455928.000000000 = A.D. 2012-Jan-01 12:00:00.0000   1.758231858773569E-01 -9.674589973508936E-01 -9.859120152883602E-06   1.703296184918059E-02  3.111959234107552E-03  1.496788086597596E-05
2455928.500000000 = A.D. 2012-Jan-02 00:00:00.0000   1.844313577898609E-01 -9.658982904694415E-01  1.171824561447777E-05   1.734973244041441E-02  3.333467471022074E-03 -1.644935972792895E-05
2455929.000000000 = A.D. 2012-Jan-02 12:00:00.0000   1.929996351210038E-01 -9.641620058563165E-01 -1.029162293085598E-05   1.697483103579610E-02  3.409362770850057E-03  1.602660221000333E-05
2455929.500000000 = A.D. 2012-Jan-03 00:00:00.0000   2.015786879385351E-01 -9.624511971825289E-01  1.113835850652554E-05   1.728759815783949E-02  3.635654282961894E-03 -1.773970434236107E-05
2455930.000000000 = A.D. 2012-Jan-03 12:00:00.0000   2.101146629077484E-01 -9.605655568575692E-01 -1.083329688019761E-05   1.691154247256069E-02  3.705439352897809E-03  1.709923665183754E-05
2455930.500000000 = A.D. 2012-Jan-04 00:00:00.0000   2.186619968377839E-01 -9.587053097592748E-01  1.045272850144007E-05   1.722023830258920E-02  3.936455071650720E-03 -1.900438167679118E-05
2455931.000000000 = A.D. 2012-Jan-04 12:00:00.0000   2.271630946770649E-01 -9.566710245602014E-01 -1.146356821951477E-05   1.684316402360998E-02  4.000118454459833E-03  1.818895106125782E-05
2455931.500000000 = A.D. 2012-Jan-05 00:00:00.0000   2.356761437372571E-01 -9.546620373944090E-01  9.683677462608192E-06   1.714772139651975E-02  4.235800744688217E-03 -2.023968315178571E-05
2455932.000000000 = A.D. 2012-Jan-05 12:00:00.0000   2.441398241790763E-01 -9.524798513676821E-01 -1.215850178774338E-05   1.676976405163695E-02  4.293336165747098E-03  1.929860863173273E-05
2455932.500000000 = A.D. 2012-Jan-06 00:00:00.0000   2.526160564627609E-01 -9.503228538917949E-01  8.856732387556400E-06   1.707011645571188E-02  4.533629990314088E-03 -2.144223631042650E-05
2455933.000000000 = A.D. 2012-Jan-06 12:00:00.0000   2.610398138840401E-01 -9.479935400881727E-01 -1.289114351112575E-05   1.669141093410374E-02  4.585037603870822E-03  2.043066588108927E-05
2455933.500000000 = A.D. 2012-Jan-07 00:00:00.0000   2.694767313728331E-01 -9.456892886342574E-01  8.000211996442309E-06   1.698749165131257E-02  4.829891781387980E-03 -2.260918458094971E-05
2455934.000000000 = A.D. 2012-Jan-07 12:00:00.0000   2.778580940470174E-01 -9.432136436730648E-01 -1.363204231180719E-05   1.660817083168190E-02  4.875179298728115E-03  2.158691784356778E-05
2455934.500000000 = A.D. 2012-Jan-08 00:00:00.0000   2.862532310824503E-01 -9.407629152052552E-01  7.144559636369845E-06   1.689991118159270E-02  5.124547416298057E-03 -2.373851096753170E-05
2455935.000000000 = A.D. 2012-Jan-08 12:00:00.0000   2.945897586538576E-01 -9.381417529550045E-01 -1.435009376417551E-05   1.652010371886578E-02  5.163730644952242E-03  2.276811667606958E-05
2455935.500000000 = A.D. 2012-Jan-09 00:00:00.0000   3.029406782372262E-01 -9.355453385984847E-01  6.321297653918095E-06   1.680743057864683E-02  5.417571142846337E-03 -2.482946147434303E-05
2455936.000000000 = A.D. 2012-Jan-09 12:00:00.0000   3.112299567035175E-01 -9.327794838005065E-01 -1.501380282264091E-05   1.642725814835356E-02  5.450673470087320E-03  2.397353060516549E-05
2455936.500000000 = A.D. 2012-Jan-10 00:00:00.0000   3.195342440952296E-01 -9.300381828884595E-01  5.561544140135127E-06   1.671009118723835E-02  5.708948492699778E-03 -2.588297970947841E-05
2455937.000000000 = A.D. 2012-Jan-10 12:00:00.0000   3.277738780223757E-01 -9.271284659481500E-01 -1.559297555930548E-05   1.632966575940197E-02  5.735999019481140E-03  2.520054874571104E-05
2455937.500000000 = A.D. 2012-Jan-11 00:00:00.0000   3.360291316743677E-01 -9.242430819222902E-01  4.894139423506589E-06   1.660791505194991E-02  5.998671884661920E-03 -2.690203211361525E-05
2455938.000000000 = A.D. 2012-Jan-11 12:00:00.0000   3.442167340276901E-01 -9.211903362284740E-01 -1.606073093721168E-05   1.622733691241387E-02  6.019702260553945E-03  2.644445748795751E-05
